iter	Logloss
0	0.6905413768
1	0.6879501437
2	0.6854611072
3	0.6829696583
4	0.6805580088
5	0.6781656613
6	0.6758250686
7	0.6735429724
8	0.6712754452
9	0.6690524491
10	0.6668671093
11	0.6647009946
12	0.6625562658
13	0.6605066718
14	0.6584150305
15	0.6564226458
16	0.654432537
17	0.6524707772
18	0.6505928879
19	0.6487446268
20	0.6468921241
21	0.6450944468
22	0.6433016271
23	0.6415379223
24	0.6398390121
25	0.6381300783
26	0.6364918199
27	0.6312942588
28	0.6297423093
29	0.6281717892
30	0.6221532097
31	0.6173586979
32	0.6117051459
33	0.6102228687
34	0.604994369
35	0.603562754
36	0.6021430862
37	0.6007625176
38	0.5994064277
39	0.5981020408
40	0.5932207341
41	0.5875262573
42	0.5821493985
43	0.5780785959
44	0.5769352684
45	0.5757825763
46	0.5745839865
47	0.5734802525
48	0.5723343938
49	0.5711613464
50	0.5662531015
51	0.5640170598
52	0.5598337834
53	0.5562001845
54	0.5551024886
55	0.5540967849
56	0.5530744858
57	0.5520411585
58	0.5510308054
59	0.5500752449
60	0.5457688343
61	0.5448265585
62	0.5415192396
63	0.5379211018
64	0.5370226354
65	0.5360574315
66	0.5351254491
67	0.5342248804
68	0.5311808118
69	0.5283548423
70	0.5247880817
71	0.5209751664
72	0.5201172339
73	0.519247969
74	0.51840713
75	0.517619147
76	0.5167941628
77	0.5160194754
78	0.5152589246
79	0.5119913027
80	0.5073001081
81	0.5065624756
82	0.5041229565
83	0.503360766
84	0.5010019823
85	0.4975558128
86	0.4968258078
87	0.4939298542
88	0.4917998637
89	0.4910804079
90	0.490388956
91	0.486189799
92	0.485474977
93	0.4847897464
94	0.4841197026
95	0.4834240845
96	0.4827672178
97	0.4821157486
98	0.4794805793
99	0.4788196842
