iter	Passed	Remaining
0	27	2682
1	55	2698
2	82	2675
3	110	2643
4	137	2613
5	165	2586
6	195	2594
7	224	2577
8	257	2606
9	284	2560
10	313	2533
11	339	2488
12	366	2451
13	393	2416
14	421	2390
15	449	2357
16	478	2333
17	507	2313
18	534	2277
19	562	2248
20	591	2225
21	620	2200
22	647	2166
23	674	2136
24	707	2122
25	737	2097
26	772	2088
27	804	2067
28	833	2039
29	863	2015
30	898	2000
31	933	1983
32	972	1975
33	1008	1958
34	1053	1955
35	1092	1941
36	1132	1928
37	1169	1908
38	1203	1882
39	1231	1847
40	1263	1818
41	1293	1785
42	1322	1752
43	1353	1722
44	1381	1688
45	1412	1657
46	1442	1626
47	1471	1594
48	1499	1560
49	1528	1528
50	1558	1497
51	1591	1468
52	1626	1442
53	1658	1412
54	1693	1385
55	1728	1358
56	1766	1332
57	1801	1304
58	1838	1277
59	1879	1252
60	1916	1225
61	1951	1195
62	1991	1169
63	2032	1143
64	2056	1107
65	2084	1073
66	2112	1040
67	2139	1006
68	2167	973
69	2198	942
70	2231	911
71	2266	881
72	2293	848
73	2323	816
74	2355	785
75	2387	753
76	2412	720
77	2436	687
78	2466	655
79	2504	626
80	2539	595
81	2579	566
82	2633	539
83	2680	510
84	2735	482
85	2777	452
86	2808	419
87	2846	388
88	2880	356
89	2907	323
90	2935	290
91	2974	258
92	3009	226
93	3044	194
94	3081	162
95	3118	129
96	3156	97
97	3194	65
98	3232	32
99	3259	0
