SK_ID_CURR,TARGET
100001,0
100005,1
100013,0
100028,0
100038,1
100042,0
100057,0
100065,0
100066,0
100067,0
100074,0
100090,1
100091,1
100092,1
100106,0
100107,0
100109,0
100117,0
100128,1
100141,0
100150,0
100168,0
100169,0
100170,1
100171,0
100172,1
100184,1
100187,0
100212,0
100222,0
100223,0
100232,0
100241,1
100245,0
100253,0
100256,0
100271,0
100278,1
100280,0
100306,1
100311,1
100312,0
100330,1
100331,0
100352,0
100358,1
100367,0
100382,0
100384,0
100385,1
100386,1
100399,0
100404,1
100416,0
100422,1
100426,0
100438,0
100444,1
100445,1
100446,0
100447,0
100450,0
100466,1
100483,1
100484,0
100494,0
100510,1
100512,0
100517,0
100548,1
100551,1
100552,1
100553,0
100561,0
100568,1
100569,0
100591,0
100592,0
100602,0
100607,0
100613,0
100617,1
100618,0
100622,1
100625,1
100677,1
100699,0
100702,1
100711,1
100729,1
100740,1
100744,1
100745,1
100747,0
100751,1
100752,1
100753,1
100754,1
100760,0
100762,1
100763,0
100765,0
100770,0
100772,0
100777,0
100791,0
100792,0
100797,0
100823,0
100826,1
100830,0
100836,0
100872,0
100910,1
100913,1
100918,0
100931,0
100952,0
100953,0
100965,1
100970,0
100982,0
100983,0
100984,1
100987,0
100997,1
100998,0
101002,0
101005,1
101008,1
101020,1
101021,0
101024,0
101025,0
101026,1
101031,0
101041,0
101051,0
101055,0
101056,0
101057,0
101064,0
101079,0
101087,0
101090,0
101092,1
101097,1
101099,0
101107,0
101118,0
101125,1
101126,0
101128,0
101136,1
101140,0
101149,0
101160,1
101169,0
101181,0
101186,0
101190,1
101193,1
101194,0
101198,1
101200,0
101204,0
101211,1
101213,1
101223,0
101225,0
101237,1
101243,1
101244,0
101258,0
101259,1
101268,1
101269,0
101271,0
101279,1
101281,1
101287,1
101292,0
101294,0
101296,1
101297,0
101299,1
101301,0
101305,0
101308,0
101318,0
101327,1
101329,0
101332,1
101337,0
101343,0
101345,0
101346,0
101353,0
101354,1
101355,1
101356,1
101362,0
101363,1
101365,0
101366,0
101367,1
101368,0
101374,1
101380,0
101383,0
101398,0
101399,1
101401,1
101412,1
101426,0
101427,1
101428,0
101429,1
101434,0
101440,0
101448,1
101449,0
101465,0
101467,0
101472,1
101478,1
101497,1
101504,1
101547,1
101548,0
101555,0
101570,1
101572,1
101578,0
101580,1
101588,1
101602,0
101610,1
101614,1
101616,1
101643,0
101644,0
101649,1
101650,1
101665,0
101667,0
101669,0
101674,1
101675,0
101678,0
101682,1
101686,0
101697,1
101700,1
101711,1
101714,0
101715,1
101728,0
101732,1
101757,1
101758,0
101759,0
101762,0
101764,0
101780,1
101784,0
101789,0
101816,1
101819,0
101827,0
101863,0
101867,1
101870,0
101873,0
101878,1
101879,0
101880,0
101887,0
101897,0
101901,0
101903,1
101920,0
101921,0
101922,0
101961,1
101962,0
101971,0
101976,1
102002,1
102005,0
102007,1
102017,0
102019,1
102029,0
102051,0
102052,0
102054,0
102062,0
102067,1
102068,0
102070,0
102090,0
102092,1
102099,0
102100,0
102112,0
102113,0
102122,0
102123,0
102125,0
102126,1
102146,0
102147,1
102151,0
102158,1
102159,0
102162,0
102165,0
102166,0
102174,0
102193,0
102198,0
102205,1
102206,0
102218,1
102221,1
102230,0
102238,0
102248,0
102252,1
102259,0
102262,0
102273,0
102286,1
102293,0
102294,0
102296,1
102298,0
102303,1
102309,0
102315,1
102340,0
102342,1
102344,1
102346,0
102347,0
102374,0
102380,0
102387,0
102393,1
102403,0
102413,0
102414,0
102415,0
102416,1
102439,0
102441,0
102443,0
102444,0
102445,1
102448,0
102449,1
102450,1
102456,1
102458,1
102459,0
102465,0
102470,1
102471,1
102475,0
102476,1
102506,0
102509,0
102519,1
102522,1
102545,0
102549,0
102562,0
102563,0
102568,0
102582,0
102592,0
102597,0
102605,0
102614,0
102617,0
102634,1
102652,0
102655,0
102671,1
102694,1
102701,0
102703,0
102704,0
102713,0
102720,1
102731,0
102733,0
102749,0
102755,0
102763,0
102770,0
102772,1
102799,1
102838,0
102854,0
102862,1
102863,0
102867,0
102868,0
102878,1
102887,0
102898,0
102904,1
102912,0
102919,0
102927,1
102932,0
102933,1
102935,0
102958,0
102969,0
102971,0
102975,0
102979,1
102982,1
102987,0
102989,1
102995,1
102996,0
103000,0
103001,0
103004,1
103010,1
103025,1
103029,0
103046,1
103056,1
103062,1
103078,0
103083,0
103092,0
103096,1
103097,1
103102,1
103112,0
103132,1
103144,0
103145,1
103146,0
103147,0
103158,0
103171,0
103173,0
103184,0
103195,0
103196,1
103206,0
103230,0
103231,1
103232,0
103239,1
103240,0
103243,1
103252,0
103258,1
103259,0
103279,0
103280,0
103286,0
103287,1
103290,0
103298,0
103315,0
103319,0
103334,0
103336,1
103345,0
103368,0
103371,1
103377,0
103398,0
103404,1
103408,1
103410,0
103418,0
103420,1
103432,0
103433,0
103436,0
103440,0
103453,0
103459,0
103460,0
103461,0
103462,0
103473,1
103474,0
103475,0
103478,0
103480,1
103484,0
103494,0
103513,0
103515,0
103516,1
103525,1
103541,1
103544,0
103562,1
103570,1
103572,0
103574,0
103575,0
103591,1
103594,1
103609,0
103613,0
103614,1
103615,1
103624,1
103625,0
103628,1
103629,0
103647,0
103648,1
103651,0
103658,0
103668,0
103669,0
103676,1
103682,1
103683,0
103689,0
103725,0
103733,0
103744,0
103762,0
103771,1
103773,0
103783,1
103784,1
103808,0
103812,1
103813,1
103814,1
103818,1
103824,0
103828,0
103830,1
103840,0
103842,0
103847,1
103848,0
103851,0
103854,0
103857,1
103861,0
103862,0
103865,1
103870,0
103876,0
103891,1
103908,1
103914,0
103918,1
103940,0
103963,0
103966,1
103971,0
103980,1
103984,1
103985,1
103998,1
104019,0
104026,0
104035,0
104044,1
104045,0
104047,0
104051,0
104058,0
104063,0
104066,0
104087,0
104089,0
104095,1
104098,0
104104,0
104110,1
104120,1
104122,0
104131,0
104132,0
104135,0
104136,0
104149,0
104150,0
104156,0
104165,1
104175,0
104179,1
104184,1
104206,0
104216,1
104230,0
104257,0
104272,0
104273,0
104278,0
104294,0
104295,1
104297,1
104298,1
104308,0
104318,0
104319,0
104320,0
104327,1
104334,1
104344,0
104350,0
104351,1
104354,0
104369,0
104376,0
104381,0
104384,0
104391,0
104394,0
104398,1
104402,0
104408,1
104409,0
104410,1
104412,1
104417,0
104424,1
104426,1
104435,1
104445,0
104458,0
104460,0
104466,1
104472,0
104473,0
104479,0
104480,0
104482,0
104499,0
104501,0
104502,0
104506,0
104510,0
104512,1
104520,0
104528,0
104529,0
104541,0
104578,0
104584,0
104588,1
104602,1
104610,0
104611,1
104618,0
104620,0
104622,0
104624,1
104625,1
104634,1
104639,0
104646,0
104647,0
104652,0
104670,1
104677,1
104685,1
104691,0
104696,1
104699,0
104712,1
104714,0
104717,0
104718,0
104740,0
104741,0
104743,0
104744,0
104747,1
104767,1
104772,1
104776,1
104779,0
104814,0
104815,0
104830,1
104831,1
104833,1
104839,1
104840,0
104860,0
104861,0
104866,1
104870,0
104877,0
104878,0
104879,0
104880,1
104899,0
104906,0
104907,0
104913,1
104916,0
104921,0
104930,0
104931,1
104936,0
104937,0
104942,0
104943,0
104969,0
104972,1
104988,1
105013,0
105015,0
105019,0
105027,0
105030,0
105035,1
105041,0
105051,1
105056,1
105067,1
105071,0
105072,0
105074,1
105091,0
105101,0
105103,0
105134,0
105139,0
105142,1
105146,0
105163,0
105168,1
105172,0
105176,1
105195,1
105196,1
105197,0
105203,0
105223,1
105227,1
105228,0
105230,1
105231,0
105239,0
105242,1
105244,1
105245,0
105248,0
105249,0
105266,1
105271,1
105276,0
105282,0
105292,1
105297,0
105332,0
105333,0
105343,0
105344,0
105345,0
105357,0
105359,0
105366,0
105367,0
105370,0
105377,0
105390,0
105399,0
105403,1
105404,0
105414,0
105417,1
105425,0
105452,1
105454,0
105456,1
105470,0
105471,1
105483,0
105493,0
105508,0
105514,1
105515,0
105528,1
105529,0
105531,0
105532,0
105558,0
105574,0
105578,0
105584,1
105595,0
105617,1
105618,0
105621,1
105625,0
105629,1
105630,0
105634,0
105635,0
105641,0
105647,1
105648,0
105655,0
105657,0
105672,1
105678,1
105682,1
105691,1
105692,0
105706,0
105712,0
105720,1
105734,0
105735,0
105736,1
105737,0
105738,0
105740,1
105744,0
105747,1
105749,1
105754,1
105758,0
105760,1
105767,1
105784,1
105791,0
105802,0
105807,0
105809,0
105816,0
105817,0
105824,0
